scenario_id,repeat,path_shape,reference_demo,requested_speed,reference_curvature_abs_mean,survived,time_to_failure_s,xy_rmse,height_rmse,target_progress_m,target_path_index,terminal_position_error_m,terminal_yaw_error_rad,final_planar_speed_m_s,last_1s_planar_speed_mean_m_s,achieved_speed_mean,achieved_planar_speed_mean,achieved_speed_ratio,achieved_height_mean,tilt_rms_deg,action_delta_rms
39,0,circle,,0.8,0.6628238445718103,False,1.84,0.14657448096088563,0.032516174018383026,14.136308670043945,249,3.0,3.122667333111167,0.14311103522777557,1.0430163145065308,0.7207645773887634,0.7739923596382141,0.9009557217359543,0.2881739139556885,12.205497741699219,0.4174892008304596
40,1,circle,,0.8,0.6628231084201149,False,1.84,0.153762964476259,0.03202641382813454,14.136312484741211,249,3.0,3.122667333111167,0.16404420137405396,0.9886422157287598,0.7783336043357849,0.7981628775596619,0.9729170054197311,0.2828182280063629,13.8941011428833,0.48365938663482666
41,2,circle,,0.8,0.6628238474498543,False,1.76,0.1549597086265312,0.03846382349729538,14.136306762695312,249,3.0,3.122667333111167,0.1465502828359604,1.112387776374817,0.8029273748397827,0.8523544073104858,1.0036592185497284,0.28371793031692505,11.510567665100098,0.5172649621963501
42,0,circle,,1.0,0.6628245801890702,False,1.16,0.126656076020282,0.019807804375886917,14.136303901672363,249,3.0,3.122667333111167,0.12463758885860443,0.9426024556159973,0.7556806802749634,0.8223381638526917,0.7556806802749634,0.29554370045661926,11.731657981872559,0.4837767481803894
43,1,circle,,1.0,0.6628245062161933,False,1.56,0.1549339773205846,0.034001316875219345,14.136300086975098,249,3.0,3.122667333111167,0.1479671746492386,1.047168254852295,0.7638583183288574,0.8186092972755432,0.7638583183288574,0.28097376227378845,11.703532218933105,0.5288422107696533
44,2,circle,,1.0,0.6628246559037081,False,1.6400000000000001,0.179613919141441,0.016998186707496643,14.136299133300781,249,3.0,3.122667333111167,0.38607364892959595,1.237488865852356,0.8594874739646912,0.9780350923538208,0.8594874739646912,0.29774078726768494,10.725281715393066,0.4423306882381439
45,0,right_angle,,0.2,0.6934088279750977,True,20.0,0.08698265676206215,0.007101770956069231,4.0,81,0.31833723187446594,0.7216136455535888,0.12616053223609924,0.10198995471000671,0.1902625411748886,0.23141136765480042,0.951312705874443,0.29760947823524475,4.136702060699463,0.13876444101333618
46,1,right_angle,,0.2,0.6934088987398024,True,20.0,0.0622479729218908,0.006804917473345995,4.0,81,0.9555474519729614,0.6871368885040284,0.004508347250521183,0.051025304943323135,0.11935343593358994,0.16790252923965454,0.5967671796679497,0.29850026965141296,3.41530704498291,0.11452475190162659
47,2,right_angle,,0.2,0.6934072083005017,True,20.0,0.0857624085729891,0.007216589525341988,4.0,81,0.10884329676628113,0.903620719909668,0.04772912338376045,0.025838816538453102,0.1696409285068512,0.23436163365840912,0.848204642534256,0.2982881963253021,4.071455478668213,0.1353391408920288
48,0,right_angle,,0.4,0.6934072416164981,True,20.0,0.15361970685100357,0.010109237395226955,8.0,161,0.9281986951828003,0.09354996681213379,0.7449253797531128,0.6081433892250061,0.2108551263809204,0.44482919573783875,0.527137815952301,0.2961735129356384,6.511820316314697,0.2520577609539032
49,1,right_angle,,0.4,0.6934089320514559,True,20.0,0.10316684423231061,0.008084914647042751,8.0,161,0.49613282084465027,0.09074807167053223,0.005078630987554789,0.04078024998307228,0.35207274556159973,0.44161954522132874,0.8801818639039993,0.29900938272476196,5.568329334259033,0.21310782432556152
50,2,right_angle,,0.4,0.6934088125264481,True,20.0,0.11006357738742549,0.007969263941049576,8.0,161,0.03998352587223053,0.008000675831930227,0.5683218836784363,0.6055193543434143,0.2840564548969269,0.43387627601623535,0.7101411372423172,0.2988388240337372,5.565401077270508,0.21967734396457672
51,0,right_angle,,0.6,0.6934090786657909,False,13.540000000000001,0.23993781790422838,0.015222249552607536,8.485075950622559,170,6.003332614898682,0.0,0.17818483710289001,0.5179340243339539,0.22798186540603638,0.4379982352256775,0.3799697756767273,0.2964106500148773,11.087140083312988,0.3472915589809418
52,1,right_angle,,0.6,0.6934090001682993,False,6.44,0.20843416624659897,0.034712053835392,8.485075950622559,170,6.003332614898682,0.0,0.18402469158172607,0.732862114906311,0.05859685316681862,0.6500135660171509,0.09766142194469771,0.2749249041080475,13.279210090637207,0.47448036074638367
53,2,right_angle,,0.6,0.6934088612875193,False,2.64,0.1606230995805838,0.02279283106327057,8.485075950622559,170,6.003332614898682,0.0,0.24434641003608704,0.9850003719329834,0.6679121851921082,0.699048638343811,1.1131869753201804,0.2953369617462158,10.269948959350586,0.3329406976699829
54,0,right_angle,,0.8,0.6934089320514559,False,2.12,0.16310289232604094,0.022511309012770653,8.485074043273926,170,6.003332614898682,0.0,0.22004735469818115,1.0743311643600464,0.7605462670326233,0.8040566444396973,0.9506828337907791,0.29312214255332947,9.640666007995605,0.3830636143684387
