scenario_id,repeat,path_shape,reference_demo,requested_speed,transition_fraction,height_profile,height_segment_m,target_height_changes,target_height_changes_before_failure,reference_curvature_abs_mean,survived,time_to_failure_s,xy_rmse,height_rmse,height_abs_error_mean,target_progress_m,target_path_index,terminal_position_error_m,terminal_yaw_error_rad,final_planar_speed_m_s,last_1s_planar_speed_mean_m_s,achieved_speed_mean,achieved_planar_speed_mean,achieved_tangent_speed_mean,achieved_speed_ratio,achieved_height_mean,tilt_rms_deg,action_delta_rms
31,1,right_angle,,0.4,,interleaved,1.0,8,8,0.6934088125264481,True,20.0,0.04542143958149522,0.05147910490632057,0.04585408791899681,8.0,161,0.46148228645324707,0.5450377464294434,0.022302748635411263,0.04038579761981964,0.30533459782600403,0.4484540522098541,0.42469164729118347,1.0617291182279587,0.2209404855966568,5.96855354309082,0.20590245723724365
32,2,right_angle,,0.4,,interleaved,1.0,8,8,0.6934090786657909,False,13.26,0.22326496028316845,0.04713824391365051,0.03972247987985611,8.0,161,5.553602695465088,0.0,0.27937448024749756,1.0867013931274414,0.2482166737318039,0.6577300429344177,0.5854256749153137,1.4635641872882843,0.22906774282455444,7.026941299438477,0.26139360666275024
33,0,right_angle,,0.6,,interleaved,1.0,6,5,0.6934090001682993,False,9.0,0.2123452438277958,0.05501549318432808,0.04300535470247269,8.485075950622559,170,6.003332614898682,0.0,0.052818700671195984,0.44512757658958435,0.46941912174224854,0.6874364018440247,0.625482976436615,1.0424716273943584,0.22421488165855408,15.996834754943848,0.33612173795700073
34,1,right_angle,,0.6,,interleaved,1.0,6,6,0.6934088612875193,False,10.06,0.19711840314365628,0.04705603048205376,0.039954476058483124,8.485075950622559,170,6.003332614898682,0.0,0.18353721499443054,0.7582513689994812,0.36915323138237,0.6654670238494873,0.6138991117477417,1.0231651862462363,0.2350323349237442,13.144150733947754,0.2892500162124634
35,2,right_angle,,0.6,,interleaved,1.0,6,6,0.6934089320514559,False,9.28,0.21033076196132897,0.045963138341903687,0.03701739385724068,8.485074043273926,170,6.003332614898682,0.0,0.23816482722759247,0.6810291409492493,0.45988959074020386,0.7013503313064575,0.6512545943260193,1.085424323876699,0.23056095838546753,11.930583000183105,0.2924824655056
36,0,random_polyline,,0.2,,interleaved,1.0,6,6,0.2991074301962991,False,19.16,0.2042107170420808,0.04814448580145836,0.034685250371694565,4.0,79,3.9057774543762207,0.3263194561004638,0.28896012902259827,0.388920396566391,0.3202299177646637,0.3825904130935669,0.37291502952575684,1.8645751476287842,0.23713137209415436,10.170797348022461,0.20090524852275848
37,1,random_polyline,,0.2,,interleaved,1.0,6,6,0.2991012076179727,True,20.0,0.02958095953567278,0.04482116922736168,0.03284556418657303,4.0,79,2.4205362796783447,1.473874807357788,0.004499879200011492,0.017710909247398376,0.3261125981807709,0.3493894040584564,0.3406108319759369,1.7030541598796844,0.24337932467460632,4.544567108154297,0.1625792235136032
38,2,random_polyline,,0.2,,interleaved,1.0,6,6,0.29909649425678453,True,20.0,0.046690309796870624,0.05167580395936966,0.04120266065001488,4.0,79,2.460798740386963,2.1314988136291504,1.1063605546951294,0.32860901951789856,0.22177743911743164,0.3561656177043915,0.3350655734539032,1.675327867269516,0.23653332889080048,8.385261535644531,0.1827506572008133
39,0,random_polyline,,0.4,,interleaved,1.0,6,6,0.29910141608374424,True,20.0,0.05046156078978478,0.03709063306450844,0.02470550872385502,6.788423538208008,133,0.06970323622226715,0.23228096961975098,0.07928448170423508,0.11619815975427628,0.30393826961517334,0.39353320002555847,0.34198808670043945,0.8549702167510986,0.2604523003101349,5.229579925537109,0.1866254359483719
40,1,random_polyline,,0.4,,interleaved,1.0,6,6,0.2991074301962991,True,20.0,0.09234362283138092,0.03669403865933418,0.023789066821336746,6.788425445556641,133,0.018621647730469704,2.7956959009170532,0.015116944909095764,0.05490381643176079,0.11780168116092682,0.4597506523132324,0.3426609933376312,0.8566524833440781,0.2569504678249359,5.930781841278076,0.20790261030197144
41,2,random_polyline,,0.4,,interleaved,1.0,6,6,0.2991074301962991,False,10.56,0.2670851665820026,0.0543278306722641,0.04252012446522713,6.788425445556641,133,6.111359119415283,0.8854036331176759,0.29595714807510376,0.6761837005615234,0.4931758642196655,0.637018084526062,0.6348584294319153,1.5871460735797882,0.22520288825035095,12.644681930541992,0.29003676772117615
42,0,random_polyline,,0.6,,interleaved,1.0,5,5,0.2991056754170987,True,20.0,0.06435532060636097,0.03222841024398804,0.020136822015047073,6.788424491882324,133,0.04200269281864166,0.1728858947753906,0.01665223017334938,0.03705791011452675,0.32745084166526794,0.42054393887519836,0.33478569984436035,0.5579761664072673,0.27126720547676086,4.458808898925781,0.18521592020988464
43,1,random_polyline,,0.6,,interleaved,1.0,5,5,0.2991021775790558,False,9.5,0.287297516969245,0.054933737963438034,0.045081112533807755,6.788422107696533,133,6.111359119415283,0.8854036331176759,0.36160480976104736,0.4668271243572235,0.674435019493103,0.7369879484176636,0.7228978276252747,1.2048297127087912,0.23914778232574463,14.530364990234375,0.29891523718833923
44,2,random_polyline,,0.6,,interleaved,1.0,5,5,0.2990974830828236,True,20.0,0.058658439718078395,0.03221163898706436,0.020830245688557625,6.78842306137085,133,0.018334971740841866,0.4162778854370117,0.04282600060105324,0.04891691729426384,0.32479843497276306,0.4159088134765625,0.3335532546043396,0.5559220910072327,0.26921871304512024,4.695116996765137,0.19682131707668304
